model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_3_AutoML_1_20231101_15156,80.76832981515827,6523.523101130183,33.88415984561757,,6523.523101130183
StackedEnsemble_BestOfFamily_3_AutoML_1_20231101_15156,81.00400614330624,6561.649011264796,34.83187123867876,,6561.649011264796
StackedEnsemble_AllModels_2_AutoML_1_20231101_15156,81.04805969716269,6568.787980674846,34.68566931044713,,6568.787980674846
StackedEnsemble_AllModels_1_AutoML_1_20231101_15156,81.08180962848336,6574.259852629616,34.668916778285414,,6574.259852629616
StackedEnsemble_BestOfFamily_2_AutoML_1_20231101_15156,81.09288527819962,6576.056042743245,34.80478720190577,,6576.056042743245
GBM_4_AutoML_1_20231101_15156,81.83294711000863,6696.63123270947,35.74274459865578,,6696.63123270947
GBM_grid_1_AutoML_1_20231101_15156_model_2,82.73198117429413,6844.58070902376,35.82122174530751,,6844.58070902376
GBM_3_AutoML_1_20231101_15156,83.62582798940387,6993.2791069133655,36.92594791834863,,6993.2791069133655
GBM_2_AutoML_1_20231101_15156,84.74339359296978,7181.442757652991,39.06847834814872,,7181.442757652991
GBM_1_AutoML_1_20231101_15156,84.89525643572512,7207.204565287528,40.23617459323435,,7207.204565287528
StackedEnsemble_BestOfFamily_1_AutoML_1_20231101_15156,84.91291690115185,7210.20345666192,40.26154609856444,,7210.20345666192
DRF_1_AutoML_1_20231101_15156,85.39730061545667,7292.698952406677,36.04725407877319,0.4847166922756649,7292.698952406677
GBM_5_AutoML_1_20231101_15156,85.83473801323882,7367.602249801345,39.91745197789747,,7367.602249801345
GBM_grid_1_AutoML_1_20231101_15156_model_1,88.38874972139352,7812.571077311144,46.389250017341126,,7812.571077311144
XRT_1_AutoML_1_20231101_15156,88.95718169047095,7913.380174311458,39.66389199556831,0.5430787474926977,7913.380174311458
DeepLearning_1_AutoML_1_20231101_15156,108.98205121965536,11877.087488043586,62.45788258662321,,11877.087488043586
GBM_grid_1_AutoML_1_20231101_15156_model_3,113.10631197958126,12793.037809622369,62.67461073329231,,12793.037809622369
DeepLearning_grid_1_AutoML_1_20231101_15156_model_1,136.0989828388989,18522.933129782898,91.08025197531263,,18522.933129782898
DeepLearning_grid_1_AutoML_1_20231101_15156_model_3,158.7404461047448,25198.52922953339,110.71953330097394,,25198.52922953339
DeepLearning_grid_1_AutoML_1_20231101_15156_model_2,183.3145273597524,33604.21594112941,131.76143796514822,,33604.21594112941
GLM_1_AutoML_1_20231101_15156,191.5649929360244,36697.14651857909,144.7771825489436,,36697.14651857909
GBM_grid_1_AutoML_1_20231101_15156_model_4,196.8933724710208,38767.00012301213,156.25866750277416,2.869271076027326,38767.00012301213
GBM_grid_1_AutoML_1_20231101_15156_model_5,290.55149336798803,84420.17029836799,236.6014302663661,3.258216666729076,84420.17029836799
